CommonID;SectorName;Style;TextRUSingle;TextRUPrular;TextENSingle;TextENPrular;TextUASingle;TextUAPrular
PRDC0010;productAccountSMEDetails;official;Управление;;Management;;Керування;
PRDC0010;productAccountSMEDetails;common;Управление;;Management;;Керування;
PRDC0011;productAccountSMEDetails;dude;Валюта счета;;Валюта счета;;Валюта счета;
PRDC0011;productAccountSMEDetails;common;Валюта счета;;Валюта счета;;Валюта счета;
PRDC0011;productAccountSMEDetails;official;Валюта счета;;Валюта счета;;Валюта счета;
PRDC0012;productAccountSMEDetails;dude;Номер счета в формате IBAN;;Номер счета в формате IBAN;;Номер счета в формате IBAN;
PRDC0012;productAccountSMEDetails;official;Номер счета в формате IBAN;;Номер счета в формате IBAN;;Номер счета в формате IBAN;
PRDC0012;productAccountSMEDetails;common;Номер счета в формате IBAN;;Номер счета в формате IBAN;;Номер счета в формате IBAN;
PRDC0013;productAccountSMEDetails;common;Выписка по счету;;Выписка по счету;;Выписка по счету;
PRDC0013;productAccountSMEDetails;dude;Выписка по счету;;Выписка по счету;;Выписка по счету;
PRDC0013;productAccountSMEDetails;official;Выписка по счету;;Выписка по счету;;Выписка по счету;
PRDC0014;productAccountSMEDetails;common;SMS / PUSH сообщение;;SMS / PUSH messages;;SMS / PUSH повідомлення;
PRDC0014;productAccountSMEDetails;official;SMS / PUSH сообщение;;SMS / PUSH messages;;SMS / PUSH повідомлення;
PRDC0014;productAccountSMEDetails;dude;SMS / PUSH сообщение;;SMS / PUSH messages;;SMS / PUSH повідомлення;
PRDC0015;productAccountSMEDetails;official;Карты;;Cards;;Картки;
PRDC0015;productAccountSMEDetails;dude;Карты;;Cards;;Картки;
PRDC0015;productAccountSMEDetails;common;Карты;;Cards;;Картки;
PRDC0016;productAccountSMEDetails;common;Дата открытия;;Дата открытия;;Дата открытия;
PRDC0016;productAccountSMEDetails;official;Дата открытия;;Дата открытия;;Дата открытия;
PRDC0016;productAccountSMEDetails;dude;Дата открытия;;Дата открытия;;Дата открытия;
PRDC0017;productAccountSMEDetails;common;Инфо;;Info;;Інфо;
PRDC0017;productAccountSMEDetails;official;Инфо;;Info;;Інфо;
PRDC0017;productAccountSMEDetails;dude;Инфо;;Info;;Інфо;
CSH00001;cashU;official;Кешбек;;Кешбек;;Кешбек;
CSH00001;cashU;common;Кешбек;;Кешбек;;Кешбек;
CSH00001;cashU;dude;Кешбек;;Кешбек;;Кешбек;
CSH00002;cashU;official;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;
CSH00002;cashU;common;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;
CSH00002;cashU;dude;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;;Просто чаще плати картой, и они появятся;
CSH00003;cashU;dude;Подробнее;;Подробнее;;Подробнее;
CSH00003;cashU;official;Подробнее;;Подробнее;;Подробнее;
CSH00003;cashU;common;Подробнее;;Подробнее;;Подробнее;
CSH00004;cashU;dude;Перейти на сайт;;Перейти на сайт;;Перейти на сайт;
CSH00004;cashU;official;Перейти на сайт;;Перейти на сайт;;Перейти на сайт;
CSH00004;cashU;common;Перейти на сайт;;Перейти на сайт;;Перейти на сайт;
CSH00005;cashU;official;Акции;;Акции;;Акции;
CSH00005;cashU;common;Акции;;Акции;;Акции;
CSH00005;cashU;dude;Акции;;Акции;;Акции;
CSH00006;cashU;common;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;
CSH00006;cashU;dude;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;
CSH00006;cashU;official;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;;Ожидайте результатов розыгрышей;
CSH00007;cashU;official;Категории;;Категории;;Категории;
CSH00007;cashU;dude;Категории;;Категории;;Категории;
CSH00007;cashU;common;Категории;;Категории;;Категории;
CSH00008;cashU;official;История бонусов;;История бонусов;;История бонусов;
CSH00008;cashU;common;История бонусов;;История бонусов;;История бонусов;
CSH00008;cashU;dude;История бонусов;;История бонусов;;История бонусов;
CSH00009;cashU;official;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";
CSH00009;cashU;common;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";
CSH00009;cashU;dude;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";;"{
  ""ie:x=0"": ""Январь"",
  ""ie:x=1"": ""Февраль"",
  ""ie:x=2"": ""Март"",
  ""ie:x=3"": ""Апрель"",
  ""ie:x=4"": ""Май"",
  ""ie:x=5"": ""Июнь"",
  ""ie:x=6"": ""Июль"",
  ""ie:x=7"": ""Август"",
  ""ie:x=8"": ""Сентябрь"",
  ""ie:x=9"": ""Октябрь"",
  ""ie:x=10"": ""Ноябрь"",
  ""ie:x=11"": ""Декабрь""
}";
CSH00010;cashU;official;Узнать больше;;Узнать больше;;Узнать больше;
CSH00010;cashU;common;Узнать больше;;Узнать больше;;Узнать больше;
CSH00010;cashU;dude;Узнать больше;;Узнать больше;;Узнать больше;
CSH00011;cashU;official;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;
CSH00011;cashU;dude;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;
CSH00011;cashU;common;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;;Обратите внимание, новые категории вы сможете выбрать через %d дня;
CSH00012;cashU;common;Смотреть все акции →;;Смотреть все акции →;;Смотреть все акции →;
CSH00012;cashU;official;Смотреть все акции →;;Смотреть все акции →;;Смотреть все акции →;
CSH00012;cashU;dude;Смотреть все акции →;;Смотреть все акции →;;Смотреть все акции →;
CSH00013;cashU;dude;Розыгрыш завершен;;Розыгрыш завершен;;Розыгрыш завершен;
CSH00013;cashU;official;Розыгрыш завершен;;Розыгрыш завершен;;Розыгрыш завершен;
CSH00013;cashU;common;Розыгрыш завершен;;Розыгрыш завершен;;Розыгрыш завершен;
CSH00014;cashU;dude;Призы и акции;;Призы и акции;;Призы и акции;
CSH00014;cashU;common;Призы и акции;;Призы и акции;;Призы и акции;
CSH00014;cashU;official;Призы и акции;;Призы и акции;;Призы и акции;
CSH00015;cashU;dude;Пусто;;Пусто;;Пусто;
CSH00015;cashU;common;Пусто;;Пусто;;Пусто;
CSH00015;cashU;official;Пусто;;Пусто;;Пусто;
CSH00016;cashU;dude;Количество купленных шансов;;Количество купленных шансов;;Количество купленных шансов;
CSH00016;cashU;common;Количество купленных шансов;;Количество купленных шансов;;Количество купленных шансов;
CSH00016;cashU;official;Количество купленных шансов;;Количество купленных шансов;;Количество купленных шансов;
CSH00017;cashU;official;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;
CSH00017;cashU;dude;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;
CSH00017;cashU;common;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;;Победители определены! Детали на сайте;
CSH00018;cashU;common;Завершенные;;Завершенные;;Завершенные;
CSH00018;cashU;official;Завершенные;;Завершенные;;Завершенные;
CSH00018;cashU;dude;Завершенные;;Завершенные;;Завершенные;
CSH00019;cashU;common;Полученные бонусы;;Полученные бонусы;;Полученные бонусы;
CSH00019;cashU;official;Полученные бонусы;;Полученные бонусы;;Полученные бонусы;
CSH00019;cashU;dude;Полученные бонусы;;Полученные бонусы;;Полученные бонусы;
CSH00020;cashU;common;Закрыть;;Закрыть;;Закрыть;
CSH00020;cashU;official;Закрыть;;Закрыть;;Закрыть;
CSH00020;cashU;dude;Закрыть;;Закрыть;;Закрыть;
CSH00021;cashU;dude;Стоимость шанса;;Стоимость шанса;;Стоимость шанса;
CSH00021;cashU;official;Стоимость шанса;;Стоимость шанса;;Стоимость шанса;
CSH00021;cashU;common;Стоимость шанса;;Стоимость шанса;;Стоимость шанса;
CSH00022;cashU;dude;Ты участвуешь;;Ты участвуешь;;Ты участвуешь;
CSH00022;cashU;common;Ты участвуешь;;Ты участвуешь;;Ты участвуешь;
CSH00022;cashU;official;Ты участвуешь;;Ты участвуешь;;Ты участвуешь;
CSH00023;cashU;common;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;
CSH00023;cashU;dude;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;
CSH00023;cashU;official;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;;В течении месяца в категориях можно заработать до %@ бонусов Cash'U!;
CSH00024;cashU;official;Бонусов будет списано;;Бонусов будет списано;;Бонусов будет списано;
CSH00024;cashU;dude;Бонусов будет списано;;Бонусов будет списано;;Бонусов будет списано;
CSH00024;cashU;common;Бонусов будет списано;;Бонусов будет списано;;Бонусов будет списано;
CSH00025;cashU;official;Выберите %@ категории;;Выберите %@ категории;;Выберите %@ категории;
CSH00025;cashU;dude;Выберите %@ категории;;Выберите %@ категории;;Выберите %@ категории;
CSH00025;cashU;common;Выберите %@ категории;;Выберите %@ категории;;Выберите %@ категории;
CSH00026;cashU;common;шансов;;шансов;;шансов;
CSH00026;cashU;official;шансов;;шансов;;шансов;
CSH00026;cashU;dude;шансов;;шансов;;шансов;
CSH00027;cashU;dude;Дополнительные условия;;Дополнительные условия;;Дополнительные условия;
CSH00027;cashU;common;Дополнительные условия;;Дополнительные условия;;Дополнительные условия;
CSH00027;cashU;official;Дополнительные условия;;Дополнительные условия;;Дополнительные условия;
CSH00028;cashU;official;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;
CSH00028;cashU;common;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;
CSH00028;cashU;dude;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;;Теперь ты участник розыгрыша;
CSH00029;cashU;official;Готово;;Готово;;Готово;
CSH00029;cashU;dude;Готово;;Готово;;Готово;
CSH00029;cashU;common;Готово;;Готово;;Готово;
CSH00030;cashU;dude;Купить;;Купить;;Купить;
CSH00030;cashU;common;Купить;;Купить;;Купить;
CSH00030;cashU;official;Купить;;Купить;;Купить;
CSH00031;cashU;dude;Выбери количество шансов;;Выбери количество шансов;;Выбери количество шансов;
CSH00031;cashU;common;Выбери количество шансов;;Выбери количество шансов;;Выбери количество шансов;
CSH00031;cashU;official;Выбери количество шансов;;Выбери количество шансов;;Выбери количество шансов;
CSH00032;cashU;dude;Осталось %d дней;;Осталось %d дней;;Осталось %d дней;
CSH00032;cashU;common;Осталось %d дней;;Осталось %d дней;;Осталось %d дней;
CSH00032;cashU;official;Осталось %d дней;;Осталось %d дней;;Осталось %d дней;
CSH00033;cashU;dude;Итого;;Итого;;Итого;
CSH00033;cashU;common;Итого;;Итого;;Итого;
CSH00033;cashU;official;Итого;;Итого;;Итого;
CSH00034;cashU;common;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;
CSH00034;cashU;official;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;
CSH00034;cashU;dude;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;;Ожидай результаты розыгрыша %@;
CSH00035;cashU;common;Период розыгрыша;;Период розыгрыша;;Период розыгрыша;
CSH00035;cashU;official;Период розыгрыша;;Период розыгрыша;;Период розыгрыша;
CSH00035;cashU;dude;Период розыгрыша;;Период розыгрыша;;Период розыгрыша;
CSH00036;cashU;dude;Шансов;;Шансов;;Шансов;
CSH00036;cashU;official;Шансов;;Шансов;;Шансов;
CSH00036;cashU;common;Шансов;;Шансов;;Шансов;
CSH00037;cashU;dude;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;
CSH00037;cashU;official;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;
CSH00037;cashU;common;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;;Принимайте участие в розыгрышах;
CSH00038;cashU;dude;Условия и Правила акции;;Условия и Правила акции;;Условия и Правила акции;
CSH00038;cashU;common;Условия и Правила акции;;Условия и Правила акции;;Условия и Правила акции;
CSH00038;cashU;official;Условия и Правила акции;;Условия и Правила акции;;Условия и Правила акции;
CSH00039;cashU;dude;Смотреть все призы →;;Смотреть все призы →;;Смотреть все призы →;
CSH00039;cashU;official;Смотреть все призы →;;Смотреть все призы →;;Смотреть все призы →;
CSH00039;cashU;common;Смотреть все призы →;;Смотреть все призы →;;Смотреть все призы →;
CSH00040;cashU;official;Бонусов;;Бонусов;;Бонусов;
CSH00040;cashU;dude;Бонусов;;Бонусов;;Бонусов;
CSH00040;cashU;common;Бонусов;;Бонусов;;Бонусов;
CSH00041;cashU;official;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";
CSH00041;cashU;common;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";
CSH00041;cashU;dude;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";;"Я ознакомлен и согласен с ";
CSH00042;cashU;common;Начислено;;Начислено;;Начислено;
CSH00042;cashU;official;Начислено;;Начислено;;Начислено;
CSH00042;cashU;dude;Начислено;;Начислено;;Начислено;
CSH00043;cashU;common;Другие;;Другие;;Другие;
CSH00043;cashU;dude;Другие;;Другие;;Другие;
CSH00043;cashU;official;Другие;;Другие;;Другие;
CSH00044;cashU;official;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;
CSH00044;cashU;common;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;
CSH00044;cashU;dude;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;
CSH00045;cashU;dude;Призы;;Призы;;Призы;
CSH00045;cashU;common;Призы;;Призы;;Призы;
CSH00045;cashU;official;Призы;;Призы;;Призы;
CSH00046;cashU;official;Условиями и Правилами акции;;Условиями и Правилами акции;;Условиями и Правилами акции;
CSH00046;cashU;dude;Условиями и Правилами акции;;Условиями и Правилами акции;;Условиями и Правилами акции;
CSH00046;cashU;common;Условиями и Правилами акции;;Условиями и Правилами акции;;Условиями и Правилами акции;
CSH00047;cashU;common;Купить шанс;;Купить шанс;;Купить шанс;
CSH00047;cashU;official;Купить шанс;;Купить шанс;;Купить шанс;
CSH00047;cashU;dude;Купить шанс;;Купить шанс;;Купить шанс;
