CommonID;SectorName;Style;TextRUSingle;TextRUPrular;TextENSingle;TextENPrular;TextUASingle;TextUAPrular;;
STTN0011;settings;business;Русский;;Русский;;Русский;;;
STTN0011;settings;friendly;Русский;;Русский;;Русский;;;
STTN0011;settings;neutral;Русский;;Русский;;Русский;;;
STTN0012;settings;neutral;Выбор темы;;Theme selection;;Вибір теми;;;
STTN0012;settings;friendly;Выбор темы;;Theme selection;;Вибір теми;;;
STTN0012;settings;business;Выбор темы;;Theme selection;;Вибір теми;;;
STTN0013;settings;neutral;%@ скопирован;;%@ is copied;;%@ скопійовано;;;
STTN0013;settings;friendly;%@ скопирован;;%@ is copied;;%@ скопійовано;;;
STTN0013;settings;business;%@ скопирован;;%@ is copied;;%@ скопійовано;;;
STTN0014;settings;business;Изменения вступят в силу после перезапуска приложения;;For changes to take effect, application shall be restarted;;Зміни вступлять в силу після перезапуску додатку;;;
STTN0014;settings;friendly;Перезапусти приложение, чтобы все заработало;;Restart app to make it work;;Перезапусти додаток, щоб усе запрацювало;;;
STTN0014;settings;neutral;Перезапусти приложение, чтобы изменения вступили в силу;;For changes to take effect, restart your app;;Перезапусти додаток, щоб зміни вступили в дію;;;
ERRR0001;errors;neutral;Ок;;Ok;;Ок;;;
ERRR0001;errors;business;Ок;;Ok;;Ок;;;
ERRR0001;errors;friendly;Ок;;Ok;;Ок;;;
ERRR0002;errors;business;Что-то пошло не так!;;Something went wrong!;;Щось пішло не так!;;;
ERRR0002;errors;neutral;Что-то пошло не так!;;Something went wrong!;;Щось пішло не так!;;;
ERRR0002;errors;friendly;Ох, какая-то ошибка:(;;Oh no! Error…;;Ох, якась помилка:(;;;
ERRR0003;errors;business;Проверьте подключение интернету и попробуйте еще раз;;Please check your internet connection and try again;;Перевірте підключення інтернету та спробуйте ще раз;;;
ERRR0003;errors;neutral;Проверь подключение интернету и попробуй еще раз;;Check your internet connection and try again;;Перевір підключення інтернету та спробуй ще раз;;;
ERRR0003;errors;friendly;Может, нет интернета? Проверь и попробуй еще раз:);;Seems like there is no internet connection. Check and try again:);;Може, немає інтернету? Перевір та спробуй ще раз:);;;
ERRR0004;errors;neutral;Попробуй еще раз;;Try again;;Спробуй ще раз;;;
ERRR0004;errors;business;Попробуйте еще раз;;Please try again;;Спробуйте ще раз;;;
ERRR0004;errors;friendly;Попробуй еще раз;;Try again;;Спробуй ще раз;;;
ERRR0005;errors;business;Отсутствует подключение к сети;;No network connection;;Відсутнє підключення до мережі;;;
ERRR0005;errors;friendly;Нет интернета:(;;No Internet:(;;Немає інтернету:(;;;
ERRR0005;errors;neutral;Отсутствует подключение к сети;;No network connection available;;Відсутнє підключення до мережі;;;
ERRR0006;errors;business;Ошибка;;Error;;Помилка;;;
ERRR0006;errors;neutral;Ошибка;;Error;;Помилка;;;
ERRR0006;errors;friendly;Ошибка;;Error;;Помилка;;;
PSHC0001;pushActions;friendly;Выбрать;;Select;;Вибрати;;;
PSHC0001;pushActions;business;Выбрать;;Select;;Вибрати;;;
PSHC0001;pushActions;neutral;Выбрать;;Select;;Вибрати;;;
PSHC0002;pushActions;friendly;Отклонить;;Dismiss;;Відхилити;;;
PSHC0002;pushActions;business;Отклонить;;Dismiss;;Відхилити;;;
PSHC0002;pushActions;neutral;Отклонить;;Dismiss;;Відхилити;;;
PSHC0003;pushActions;friendly;Ответить;;Reply;;Відповісти;;;
PSHC0003;pushActions;neutral;Ответить;;Reply;;Відповісти;;;
PSHC0003;pushActions;business;Ответить;;Reply;;Відповісти;;;
PSHC0004;pushActions;business;Подробнее;;More details;;Детальніше;;;
PSHC0004;pushActions;friendly;Подробнее;;More details;;Детальніше;;;
PSHC0004;pushActions;neutral;Подробнее;;More details;;Детальніше;;;
PSHC0005;pushActions;business;Заплатить сейчас;;Pay Now;;Заплатити зараз;;;
PSHC0005;pushActions;neutral;Заплатить сейчас;;Pay Now;;Заплатити зараз;;;
PSHC0005;pushActions;friendly;Заплатить сейчас;;Pay Now;;Заплатити зараз;;;
OTHR0001;other;friendly;Светлая;;Light;;Світла;;;
OTHR0001;other;business;Светлая;;Light;;Світла;;;
OTHR0001;other;neutral;Светлая;;Light;;Світла;;;
OTHR0002;other;friendly;Автоматически;;Auto;;Автоматично;;;
OTHR0002;other;neutral;Автоматически;;Auto;;Автоматично;;;
OTHR0002;other;business;Автоматически;;Auto;;Автоматично;;;
OTHR0003;other;neutral;Темная;;Dark;;Темна;;;
OTHR0003;other;friendly;Темная;;Dark;;Темна;;;
OTHR0003;other;business;Темная;;Dark;;Темна;;;
PRDC0001;productAccountSMEDetails;business;Доступный остаток;;Available balance;;Доступний залишок;;;
PRDC0001;productAccountSMEDetails;friendly;Доступный остаток;;Available balance;;Доступний залишок;;;
PRDC0001;productAccountSMEDetails;neutral;Доступный остаток;;Available balance;;Доступний залишок;;;
PRDC0002;productAccountSMEDetails;friendly;Задолженность по комиссиям;;Fee arrears;;Заборгованість по комісіях;;;
PRDC0002;productAccountSMEDetails;neutral;Задолженность по комиссиям;;Fee arrears;;Заборгованість по комісіях;;;
PRDC0002;productAccountSMEDetails;business;Задолженность по комиссиям;;Fee arrears;;Заборгованість по комісіях;;;
PRDC0003;productAccountSMEDetails;business;История;;History;;Історія;;;
PRDC0003;productAccountSMEDetails;friendly;История;;History;;Історія;;;
PRDC0003;productAccountSMEDetails;neutral;История;;History;;Історія;;;
PRDC0004;productAccountSMEDetails;friendly;Общая информация;;General information;;Загальна інформація;;;
PRDC0004;productAccountSMEDetails;neutral;Общая информация;;General information;;Загальна інформація;;;
PRDC0004;productAccountSMEDetails;business;Общая информация;;General information;;Загальна інформація;;;
PRDC0005;productAccountSMEDetails;friendly;Действия;;Actions;;Дії;;;
PRDC0005;productAccountSMEDetails;neutral;Действия;;Actions;;Дії;;;
PRDC0005;productAccountSMEDetails;business;Действия;;Actions;;Дії;;;
PRDC0006;productAccountSMEDetails;neutral;Действия;;Actions;;Дії;;;
PRDC0006;productAccountSMEDetails;friendly;Действия;;Actions;;Дії;;;
PRDC0006;productAccountSMEDetails;business;Действия;;Actions;;Дії;;;
PRDC0007;productAccountSMEDetails;neutral;Статус счета;;Account status;;Статус рахунку;;;
PRDC0007;productAccountSMEDetails;friendly;Статус счета;;Account status;;Статус рахунку;;;
PRDC0007;productAccountSMEDetails;business;Статус счета;;Account status;;Статус рахунку;;;
PRDC0008;productAccountSMEDetails;business;%@ + овердрафт (%@);;%@ + overdraft (%@);;%@ + овердрафт (%@);;;
PRDC0008;productAccountSMEDetails;neutral;%@ + овердрафт (%@);;%@ + overdraft (%@);;%@ + овердрафт (%@);;;
PRDC0008;productAccountSMEDetails;friendly;%@ + овердрафт (%@);;%@ + overdraft (%@);;%@ + овердрафт (%@);;;
PRDC0009;productAccountSMEDetails;neutral;Дата закрытия;;Closing date;;Дата закриття;;;
PRDC0009;productAccountSMEDetails;business;Дата закрытия;;Closing date;;Дата закриття;;;
PRDC0009;productAccountSMEDetails;friendly;Дата закрытия;;Closing date;;Дата закриття;;;
PRDC0010;productAccountSMEDetails;friendly;Управление;;Management;;Керування;;;
PRDC0010;productAccountSMEDetails;business;Управление;;Management;;Керування;;;
PRDC0010;productAccountSMEDetails;neutral;Управление;;Management;;Керування;;;
PRDC0011;productAccountSMEDetails;friendly;Валюта счета;;Account currency;;Валюта рахунку;;;
PRDC0011;productAccountSMEDetails;neutral;Валюта счета;;Account currency;;Валюта рахунку;;;
PRDC0011;productAccountSMEDetails;business;Валюта счета;;Account currency;;Валюта рахунку;;;
PRDC0012;productAccountSMEDetails;friendly;IBAN;;IBAN;;IBAN;;;
PRDC0012;productAccountSMEDetails;business;IBAN;;IBAN;;IBAN;;;
PRDC0012;productAccountSMEDetails;neutral;IBAN;;IBAN;;IBAN;;;
PRDC0013;productAccountSMEDetails;neutral;Выписка по счету;;Account statement;;Виписка по рахунку;;;
PRDC0013;productAccountSMEDetails;friendly;Выписка по счету;;Account statement;;Виписка по рахунку;;;
PRDC0013;productAccountSMEDetails;business;Выписка по счету;;Account statement;;Виписка по рахунку;;;
PRDC0014;productAccountSMEDetails;neutral;SMS/Push-уведомления;;SMS/Push notifications;;SMS/Push-сповіщення;;;
PRDC0014;productAccountSMEDetails;business;SMS/Push-уведомления;;SMS/Push notifications;;SMS/Push-сповіщення;;;
PRDC0014;productAccountSMEDetails;friendly;SMS/Push-уведомления;;SMS/Push notifications;;SMS/Push-сповіщення;;;
PRDC0015;productAccountSMEDetails;business;Карты;;Cards;;Картки;;;
PRDC0015;productAccountSMEDetails;friendly;Карты;;Cards;;Картки;;;
PRDC0015;productAccountSMEDetails;neutral;Карты;;Cards;;Картки;;;
PRDC0016;productAccountSMEDetails;neutral;Дата открытия;;Opening date;;Дата відкриття;;;
PRDC0016;productAccountSMEDetails;business;Дата открытия;;Opening date;;Дата відкриття;;;
PRDC0016;productAccountSMEDetails;friendly;Дата открытия;;Opening date;;Дата відкриття;;;
PRDC0017;productAccountSMEDetails;neutral;Информация;;Info;;Інформація;;;
PRDC0017;productAccountSMEDetails;business;Информация;;Info;;Інформація;;;
PRDC0017;productAccountSMEDetails;friendly;Информация;;Info;;Інформація;;;
CSH00001;cashU;business;Кешбэк;;Cash back;;Кешбек;;;
CSH00001;cashU;neutral;Кешбэк;;Cash back;;Кешбек;;;
CSH00001;cashU;friendly;Кешбэк;;Cash back;;Кешбек;;;
CSH00002;cashU;business;Просто платите картой чаще, чтобы они появились;;Please pay with your card more often to make them appear;;Просто сплачуйте карткою частіше, щоб вони з'явилися ;;;
CSH00002;cashU;neutral;Просто чаще плати картой, и они появятся;;Just pay with your card more often and they will appear;;Просто частіше сплачуй карткою, і вони з'являться;;;
CSH00002;cashU;friendly;Просто чаще плати картой, и они появятся:);;Just pay with your card more often for them to appear :);;Просто частіше сплачуй карткою, і вони з'являться:);;;
CSH00003;cashU;friendly;Узнать больше;;More info;;Дізнатися більше;;;
CSH00003;cashU;business;Узнать больше;;More info;;Дізнатися більше;;;
CSH00003;cashU;neutral;Узнать больше;;More info;;Дізнатися більше;;;
CSH00004;cashU;friendly;Перейти на сайт;;Go to the website;;Перейти на сайт;;;
CSH00004;cashU;business;Перейти на сайт;;Go to the website;;Перейти на сайт;;;
CSH00004;cashU;neutral;Перейти на сайт;;Go to the website;;Перейти на сайт;;;
CSH00005;cashU;business;Акции;;Promotions;;Акції;;;
CSH00005;cashU;neutral;Акции;;Promotions;;Акції;;;
CSH00005;cashU;friendly;Акции;;Promotions;;Акції;;;
CSH00006;cashU;neutral;Ожидай результаты розыгрышей;;Look forward to the results;;Очікуй на результати розіграшів;;;
CSH00006;cashU;friendly;Ожидай результаты розыгрышей;;Look forward to the results;;Очікуй на результати розіграшів;;;
CSH00006;cashU;business;Ожидайте результаты розыгрышей;;Look forward to the results;;Очікуйте на результати розіграшів;;;
CSH00007;cashU;business;Категории;;Categories;;Категорії;;;
CSH00007;cashU;friendly;Категории;;Categories;;Категорії;;;
CSH00007;cashU;neutral;Категории;;Categories;;Категорії;;;
CSH00008;cashU;business;История бонусов;;Bonus issue history;;Історія бонусів;;;
CSH00008;cashU;neutral;История бонусов;;Bonus issue history;;Історія бонусів;;;
CSH00008;cashU;friendly;История бонусов;;Bonus issue history;;Історія бонусів;;;
CSH00009;cashU;business;{ "ie:x=0": "Январь",  "ie:x=1": "Февраль",  "ie:x=2": "Март",  "ie:x=3": "Апрель",  "ie:x=4": "Май",  "ie:x=5": "Июнь",  "ie:x=6": "Июль",  "ie:x=7": "Август",  "ie:x=8": "Сентябрь",  "ie:x=9": "Октябрь",  "ie:x=10": "Ноябрь",  "ie:x=11": "Декабрь" };;{ "ie:x=0": "January",  "ie:x=1": "February",  "ie:x=2": "March",  "ie:x=3": "April",  "ie:x=4": "May",  "ie:x=5": "June",  "ie:x=6": "July",  "ie:x=7": "August",  "ie:x=8": "September",  "ie:x=9": "October",  "ie:x=10": "November",  "ie:x=11": "December" };;{ "ie:x=0": "Січень",  "ie:x=1": "Лютий",  "ie:x=2": "Березень",  "ie:x=3": "Квітень",  "ie:x=4": "Травень",  "ie:x=5": "Червень",  "ie:x=6": "Липень",  "ie:x=7": "Серпень",  "ie:x=8": "Вересень",  "ie:x=9": "Жовтень",  "ie:x=10": "Листопад",  "ie:x=11": "Грудень" };;;
CSH00009;cashU;neutral;{ "ie:x=0": "Январь",  "ie:x=1": "Февраль",  "ie:x=2": "Март",  "ie:x=3": "Апрель",  "ie:x=4": "Май",  "ie:x=5": "Июнь",  "ie:x=6": "Июль",  "ie:x=7": "Август",  "ie:x=8": "Сентябрь",  "ie:x=9": "Октябрь",  "ie:x=10": "Ноябрь",  "ie:x=11": "Декабрь" };;{ "ie:x=0": "January",  "ie:x=1": "February",  "ie:x=2": "March",  "ie:x=3": "April",  "ie:x=4": "May",  "ie:x=5": "June",  "ie:x=6": "July",  "ie:x=7": "August",  "ie:x=8": "September",  "ie:x=9": "October",  "ie:x=10": "November",  "ie:x=11": "December" };;{ "ie:x=0": "Січень",  "ie:x=1": "Лютий",  "ie:x=2": "Березень",  "ie:x=3": "Квітень",  "ie:x=4": "Травень",  "ie:x=5": "Червень",  "ie:x=6": "Липень",  "ie:x=7": "Серпень",  "ie:x=8": "Вересень",  "ie:x=9": "Жовтень",  "ie:x=10": "Листопад",  "ie:x=11": "Грудень" };;;
CSH00009;cashU;friendly;{ "ie:x=0": "Январь",  "ie:x=1": "Февраль",  "ie:x=2": "Март",  "ie:x=3": "Апрель",  "ie:x=4": "Май",  "ie:x=5": "Июнь",  "ie:x=6": "Июль",  "ie:x=7": "Август",  "ie:x=8": "Сентябрь",  "ie:x=9": "Октябрь",  "ie:x=10": "Ноябрь",  "ie:x=11": "Декабрь" };;{ "ie:x=0": "January",  "ie:x=1": "February",  "ie:x=2": "March",  "ie:x=3": "April",  "ie:x=4": "May",  "ie:x=5": "June",  "ie:x=6": "July",  "ie:x=7": "August",  "ie:x=8": "September",  "ie:x=9": "October",  "ie:x=10": "November",  "ie:x=11": "December" };;{ "ie:x=0": "Січень",  "ie:x=1": "Лютий",  "ie:x=2": "Березень",  "ie:x=3": "Квітень",  "ie:x=4": "Травень",  "ie:x=5": "Червень",  "ie:x=6": "Липень",  "ie:x=7": "Серпень",  "ie:x=8": "Вересень",  "ie:x=9": "Жовтень",  "ie:x=10": "Листопад",  "ie:x=11": "Грудень" };;;
CSH00010;cashU;business;Узнать больше;;More info;;Дізнатися більше;;;
CSH00010;cashU;neutral;Узнать больше;;More info;;Дізнатися більше;;;
CSH00010;cashU;friendly;Узнать больше;;More info;;Дізнатися більше;;;
CSH00011;cashU;business;Другие категории можно выбрать через %d дня;;Other categories will be available to choose from in %d days;;Інші категорії можна вибрати через %d дні;;;
CSH00011;cashU;friendly;Другие категории ты сможешь выбрать через %d дня;;Other categories will be available to choose from in %d days;;Інші категорії ти зможеш вибрати через %d дні;;;
CSH00011;cashU;neutral;Другие категории ты сможешь выбрать через %d дня;;Other categories will be available to choose from in %d days;;Інші категорії ти зможеш вибрати через %d дні;;;
CSH00012;cashU;neutral;Смотреть все акции →;;View all promotions →;;Дивитися всі акції →;;;
CSH00012;cashU;business;Смотреть все акции →;;View all promotions →;;Дивитися всі акції →;;;
CSH00012;cashU;friendly;Смотреть все акции →;;View all promotions →;;Дивитися всі акції →;;;
CSH00013;cashU;friendly;Розыгрыш завершен;;The giveaway is over;;Розіграш завершено;;;
CSH00013;cashU;business;Розыгрыш завершен;;The giveaway is over;;Розіграш завершено;;;
CSH00013;cashU;neutral;Розыгрыш завершен;;The giveaway is over;;Розіграш завершено;;;
CSH00014;cashU;friendly;Призы и акции;;Prizes and promotions;;Призи та акції;;;
CSH00014;cashU;neutral;Призы и акции;;Prizes and promotions;;Призи та акції;;;
CSH00014;cashU;business;Призы и акции;;Prizes and promotions;;Призи та акції;;;
CSH00015;cashU;friendly;Пусто;;Nothing here;;Нічого немає;;;
CSH00015;cashU;neutral;Пусто;;Nothing here;;Нічого немає;;;
CSH00015;cashU;business;Пусто;;Nothing here;;Нічого немає;;;
CSH00016;cashU;friendly;Куплено шансов;;Purchased chances ;;Придбано шансів;;;
CSH00016;cashU;neutral;Куплено шансов;;Purchased chances ;;Придбано шансів;;;
CSH00016;cashU;business;Куплено шансов;;Purchased chances ;;Придбано шансів;;;
CSH00017;cashU;business;Победители определены! Детали на сайте;;The winners have been defined! More details are available on the website;;Переможців визначено! Деталі на сайті;;;
CSH00017;cashU;friendly;Победители определены! Детали на сайте;;The winners have been defined! More details are available on the website;;Переможців визначено! Деталі на сайті;;;
CSH00017;cashU;neutral;Победители определены! Детали на сайте;;The winners have been defined! More details are available on the website;;Переможців визначено! Деталі на сайті;;;
CSH00018;cashU;neutral;Завершенные;;Completed;;Завершені;;;
CSH00018;cashU;business;Завершенные;;Completed;;Завершені;;;
CSH00018;cashU;friendly;Завершенные;;Completed;;Завершені;;;
CSH00019;cashU;neutral;Полученные бонусы;;Bonuses received;;Отримані бонуси;;;
CSH00019;cashU;business;Полученные бонусы;;Bonuses received;;Отримані бонуси;;;
CSH00019;cashU;friendly;Полученные бонусы;;Bonuses received;;Отримані бонуси;;;
CSH00020;cashU;neutral;Закрыть;;Close;;Закрити;;;
CSH00020;cashU;business;Закрыть;;Close;;Закрити;;;
CSH00020;cashU;friendly;Закрыть;;Close;;Закрити;;;
CSH00021;cashU;friendly;Стоимость шанса;;Value of the chance;;Вартість шансу;;;
CSH00021;cashU;business;Стоимость шанса;;Value of the chance;;Вартість шансу;;;
CSH00021;cashU;neutral;Стоимость шанса;;Value of the chance;;Вартість шансу;;;
CSH00022;cashU;friendly;Ты участвуешь;;You take part;;Ти береш участь ;;;
CSH00022;cashU;neutral;Ты участвуешь;;You take part;;Ти береш участь;;;
CSH00022;cashU;business;Вы участвуете;;You take part;;Ви берете участь;;;
CSH00023;cashU;neutral;За месяц в этих категориях можно заработать до %@ бонусов Cash'U!;;These categories can bring you up to %@ Cash'U bonuses in a month!;;За місяць у цих категоріях можна заробити до %@ бонусів Cash'U!;;;
CSH00023;cashU;friendly;За месяц эти категории могут принести тебе до %@ бонусов Cash'U!;;These categories can bring you up to %@ Cash'U bonuses in a month!;;За місяць ці категорії можуть принести тобі до %@ бонусів Cash'U!;;;
CSH00023;cashU;business;За месяц в этих категориях можно заработать до %@ бонусов Cash'U!;;These categories can bring you up to %@ Cash'U bonuses in a month!;;За місяць у цих категоріях можна заробити до %@ бонусів Cash'U!;;;
CSH00024;cashU;business;Бонусов будет списано;;Bonuses to be written off ;;Бонусів буде списано;;;
CSH00024;cashU;friendly;Бонусов будет списано;;Bonuses to be written off ;;Бонусів буде списано;;;
CSH00024;cashU;neutral;Бонусов будет списано;;Bonuses to be written off ;;Бонусів буде списано;;;
CSH00025;cashU;business;Выберите %@ категории;;Choose %@ categories;;Виберіть %@ категорії;;;
CSH00025;cashU;friendly;Выбери %@ категории;;Choose %@ categories;;Вибери %@ категорії;;;
CSH00025;cashU;neutral;Выбери %@ категории;;Choose %@ categories;;Вибери %@ категорії;;;
CSH00026;cashU;neutral;шансов;;chances;;шансів;;;
CSH00026;cashU;business;шансов;;chances;;шансів;;;
CSH00026;cashU;friendly;шансов;;chances;;шансів;;;
CSH00027;cashU;friendly;Дополнительные условия;;Additional conditions;;Додаткові умови;;;
CSH00027;cashU;neutral;Дополнительные условия;;Additional conditions;;Додаткові умови;;;
CSH00027;cashU;business;Дополнительные условия;;Additional conditions;;Додаткові умови;;;
CSH00028;cashU;business;Вы участвуете в розыгрыше;;You are participating in the giveaway;;Ви берете участь у розіграші;;;
CSH00028;cashU;neutral;Ты в игре!;;You are in the game!;;Ти у грі!;;;
CSH00028;cashU;friendly;Ты в игре!;;You are in the game!;;Ти у грі!;;;
CSH00029;cashU;business;Готово;;Done;;Готово;;;
CSH00029;cashU;friendly;Готово;;Done;;Готово;;;
CSH00029;cashU;neutral;Готово; ;Done;;Готово;;;
CSH00030;cashU;friendly;Купить;;Buy;;Купити;;;
CSH00030;cashU;neutral;Купить;;Buy;;Купити;;;
CSH00030;cashU;business;Купить;;Buy;;Купити;;;
CSH00031;cashU;friendly;Выбери количество шансов;;Choose a number of chances ;;Вибери кількість шансів;;;
CSH00031;cashU;neutral;Выбери количество шансов;;Choose a number of chances ;;Вибери кількість шансів;;;
CSH00031;cashU;business;Выберите количество шансов;;Choose a number of chances ;;Виберіть кількість шансів;;;
CSH00032;cashU;friendly;Осталось %d дней;;%d days left;;Залишилося %d днів;;;
CSH00032;cashU;neutral;Осталось %d дней;;%d days left;;Залишилося %d днів;;;
CSH00032;cashU;business;Осталось %d дней;;%d days left;;Залишилося %d днів;;;
CSH00033;cashU;friendly;Итого;;Total;;Разом;;;
CSH00033;cashU;neutral;Итого;;Total;;Разом;;;
CSH00033;cashU;business;Итого;;Total;;Разом;;;
CSH00034;cashU;neutral;Ожидай результаты розыгрыша %@;;Look forward to the results of the giveaway of %@;;Очікуй на результати розіграшу %@;;;
CSH00034;cashU;business;Ожидайте результаты розыгрыша %@;;Look forward to the results of the giveaway of %@;;Очікуйте на результати розіграшу %@;;;
CSH00034;cashU;friendly;Ожидай результаты розыгрыша %@;;Look forward to the results of the giveaway of %@;;Очікуй на результати розіграшу %@;;;
CSH00035;cashU;neutral;Период розыгрыша;;Giveaway period ;;Період розіграшу;;;
CSH00035;cashU;business;Период розыгрыша;;Giveaway period ;;Період розіграшу;;;
CSH00035;cashU;friendly;Период розыгрыша;;Giveaway period ;;Період розіграшу;;;
CSH00036;cashU;friendly;Шансов;;Chances;;Шансів;;;
CSH00036;cashU;business;Шансов;;Chances;;Шансів;;;
CSH00036;cashU;neutral;Шансов;;Chances;;Шансів;;;
CSH00037;cashU;friendly;Принимай участие в розыгрышах;;Take part in giveaways;;Бери участь у розіграшах;;;
CSH00037;cashU;business;Принимайте участие в розыгрышах;;Take part in giveaways;;Беріть участь у розіграшах;;;
CSH00037;cashU;neutral;Принимай участие в розыгрышах;;Take part in giveaways;;Бери участь у розіграшах;;;
CSH00038;cashU;friendly;Правила акции;;Rules of the promotion;;Правила акції;;;
CSH00038;cashU;neutral;Правила акции;;Rules of the promotion;;Правила акції;;;
CSH00038;cashU;business;Правила акции;;Rules of the promotion;;Правила акції;;;
CSH00039;cashU;friendly;Смотреть все призы →;;View all prizes →;;Дивитися всі призи →;;;
CSH00039;cashU;business;Смотреть все призы →;;View all prizes →;;Дивитися всі призи →;;;
CSH00039;cashU;neutral;Смотреть все призы →;;View all prizes →;;Дивитися всі призи →;;;
CSH00040;cashU;business;Бонусов;;Bonuses;;Бонусів;;;
CSH00040;cashU;friendly;Бонусов;;Bonuses;;Бонусів;;;
CSH00040;cashU;neutral;Бонусов;;Bonuses;;Бонусів;;;
CSH00041;cashU;business;Я подтверждаю ознакомление с;;I have read and understood;;Я підтверджую ознайомлення з;;;
CSH00041;cashU;neutral;Я подтверждаю ознакомление с;;I have read and understood;;Я підтверджую ознайомлення з;;;
CSH00041;cashU;friendly;Я подтверждаю ознакомление с;;I have read and understood;;Я підтверджую ознайомлення з;;;
CSH00042;cashU;neutral;Начислено;;Received;;Нараховано;;;
CSH00042;cashU;business;Начислено;;Received;;Нараховано;;;
CSH00042;cashU;friendly;Начислено;;Received;;Нараховано;;;
CSH00043;cashU;neutral;Другие;;Other;;Інші;;;
CSH00043;cashU;friendly;Другие;;Other;;Інші;;;
CSH00043;cashU;business;Другие;;Other;;Інші;;;
CSH00044;cashU;business;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;;;
CSH00044;cashU;neutral;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;;;
CSH00044;cashU;friendly;Cash'U CLUB;;Cash'U CLUB;;Cash'U CLUB;;;
CSH00045;cashU;friendly;Призы;;Prizes;;Призи;;;
CSH00045;cashU;neutral;Призы;;Prizes;;Призи;;;
CSH00045;cashU;business;Призы;;Prizes;;Призи;;;
CSH00046;cashU;business;Правилами акции;;Rules of the promotion;;Правилами акції;;;
CSH00046;cashU;friendly;Правилами акции;;Rules of the promotion;;Правилами акції;;;
CSH00046;cashU;neutral;Правилами акции;;Rules of the promotion;;Правилами акції;;;
CSH00047;cashU;neutral;Купить шанс;;Buy a chance;;Купити шанс;;;
CSH00047;cashU;business;Купить шанс;;Buy a chance;;Купити шанс;;;
CSH00047;cashU;friendly;Купить шанс;;Buy a chance;;Купити шанс;;;
CSH00048;cashU;neutral;Обменивай больше бонусов, чтоб увеличить шансы на победу;;Exchange more bonuses for chances to increase likelihood of victory ;;Обмінюй більше бонусів, щоб збільшити шанси на перемогу ;;;
CSH00048;cashU;business;Обменивайте больше бонусов, чтоб увеличить шансы на победу;;Exchange more bonuses for chances to increase likelihood of victory;;Обмінюйте більше бонусів, щоб збільшити шанси на перемогу ;;;
CSH00048;cashU;friendly;Меняй больше бонусов на шансы, чтобы увеличить вероятность успеха;;Exchange more bonuses for chances to increase likelihood of success;;Міняй більше бонусів на шанси, щоб збільшити ймовірність успіху;;;
CSH00049;cashU;friendly;Выбрать;;Select;;Вибрати;;;
CSH00049;cashU;business;Выбрать;;Select;;Вибрати;;;
CSH00049;cashU;neutral;Выбрать;;Select;;Вибрати;;;
CSH00050;cashU;neutral;Отменить;;Cancel;;Скасувати;;;
CSH00050;cashU;friendly;Отменить;;Cancel;;Скасувати;;;
CSH00050;cashU;business;Отменить;;Cancel;;Скасувати;;;
